decimal_year,gmsl_mm,date
2016.5224427714893,61.065,2016-07-10
2016.5495351770433,60.55,2016-07-20
2016.576625490174,57.721,2016-07-30
2016.6037128006606,57.03,2016-08-08
2016.6308063283168,55.748,2016-08-18
2016.657903631029,59.359,2016-08-28
2016.684999663976,60.651,2016-09-07
2016.7120891472964,60.512,2016-09-17
2016.7391744353454,58.518,2016-09-27
2016.7662654972564,56.628,2016-10-07
2016.793361214313,59.781,2016-10-17
2016.8204569619784,59.887,2016-10-27
2016.847542490969,61.533,2016-11-06
2016.8746375573696,62.782,2016-11-16
2016.9017194806156,66.375,2016-11-26
2016.9288207472039,62.942,2016-12-05
2016.95591474558,60.906,2016-12-15
2016.9830041453276,60.39,2016-12-25
2017.0101255040208,59.727,2017-01-04
2017.0373001768608,61.566,2017-01-14
2017.0644588878374,60.566,2017-01-24
2017.0916255350273,58.814,2017-02-03
2017.1187959271738,58.312,2017-02-13
2017.1459513849272,59.08,2017-02-23
2017.1731210533972,60.349,2017-03-05
2017.2002874665718,60.455,2017-03-15
2017.2274543696833,61.434,2017-03-25
2017.254619627904,63.012,2017-04-03
2017.2817865613931,60.807,2017-04-13
2017.3089433473442,60.918,2017-04-23
2017.3361154611332,60.729,2017-05-03
2017.3632869350618,61.108,2017-05-13
2017.390450280892,57.713,2017-05-23
2017.4176105275178,60.395,2017-06-02
2017.444784503233,60.403,2017-06-12
2017.4719509549,60.195,2017-06-22
2017.4991214064396,60.743,2017-07-02
2017.526278547851,61.136,2017-07-12
2017.553447261956,60.785,2017-07-22
2017.580611813582,64.125,2017-07-31
2017.607774165684,61.712,2017-08-10
2017.634944074486,61.119,2017-08-20
2017.6621103130328,62.133,2017-08-30
2017.6892868285709,64.042,2017-09-09
2017.7164685721634,63.633,2017-09-19
2017.7436105735933,60.583,2017-09-29
2017.7707775649894,60.646,2017-10-09
2017.797946035336,61.657,2017-10-19
2017.8251019007769,63.623,2017-10-29
2017.8522749742517,65.726,2017-11-08
